,0,1,2,3
319,321,T. Alcântara | 31 | CM,-,
320,322,S. Duffy | 30 | CB,-,
321,323,L. Milivojevic | 31 | CM,-,
322,324,M. Dúbravka | 33 | GK,-,
323,325,M. Dúbravka | 33 | GK,-,
324,326,Neto | 33 | GK,-,
325,327,M. Klich | 32 | CAM,-,
326,328,O. Romeu | 31 | CM,-,
327,329,J. Robles | 32 | GK,-,
328,330,D. Bentley | 29 | GK,-,
329,331,A. Forshaw | 31 | CM,-,
330,332,B. Leno | 30 | GK,-,
331,333,I. Gueye | 33 | CM,-,
332,334,R. Fredericks | 30 | FB,-,
333,335,M. Orsic | 30 | CAM,-,
334,336,N. Redmond | 28 | FB,-,
335,337,A. Areola | 29 | GK,-,
336,338,Jorginho | 31 | CM,-,
337,339,S. Ortega | 30 | GK,-,
338,340,J. Stephens | 28 | CB,-,
339,341,J. Stephens | 28 | CB,-,
340,342,L. Kurzawa | 30 | FB,-,
341,343,R. Freuler | 30 | CM,-,
342,344,N. Chalobah | 28 | CM,-,
343,345,R. Fraser | 28 | WAM,-,
344,346,R. Varane | 29 | CB,-,
345,347,W. Boly | 31 | CB,-,
346,348,N. Kebano | 30 | WAM,-,
347,349,J. Vestergaard | 30 | CB,-,
348,350,C. Coady | 29 | CB,-,
349,351,D. Ward | 29 | GK,-,
350,352,H. Maguire | 29 | CB,-,
351,353,N. Pope | 30 | GK,-,
352,354,E. Martínez | 30 | GK,-,
353,355,J. Lascelles | 29 | CB,-,
354,356,C. Chambers | 27 | CB,-,
355,357,M. Sabitzer | 28 | CM,-,
356,358,S. Johnstone | 29 | GK,-,
357,359,R. Jiménez | 31 | FW,-,
358,360,L. Karius | 29 | GK,-,
359,361,J. Butland | 29 | GK,-,
360,362,J. Butland | 29 | GK,-,
361,363,Á. Moreno | 29 | FB,-,
362,364,P. Dummett | 31 | FB,-,
363,365,D. Alli | 26 | WAM,-,
364,366,J. Lingard | 30 | WAM,-,
365,367,J. Manquillo | 28 | FB,-,
366,368,Kepa | 28 | GK,-,
367,369,A. Webster | 27 | CB,-,
368,370,J. Pickford | 28 | GK,-,
369,371,D. Brooks | 25 | WAM,-,
370,372,E. Krafth | 28 | FB,-,
371,373,R. Olsen | 32 | GK,-,
372,374,H. Toffolo | 27 | FB,-,
373,375,Felipe | 33 | CB,-,
374,376,A. Becker | 30 | GK,-,
375,377,N. Kanté | 31 | CM,-,
376,378,Fabinho | 29 | CM,-,
377,379,Allan | 31 | CM,-,
378,380,W. Weghorst | 30 | FW,-,
379,381,A. Gomes | 29 | CM,-,
380,382,K. Mbabu | 27 | FB,-,
381,383,Ederson | 29 | GK,-,
382,384,M. Bettinelli | 30 | GK,-,
383,385,M. Sanson | 28 | WAM,-,
384,386,A. Robertson | 28 | FB,-,
385,387,H. Ziyech | 29 | WAM,-,
386,388,R. Loftus-Cheek | 26 | CM,-,
387,389,J. Lowe | 28 | CM,-,
