,0,1,2,3
187,189,D. Welbeck | 28 | FW,1,
188,190,J. Shelvey | 26 | CM,1,
189,191,L. Balogun | 30 | CB,1,
190,192,F. Ayité | 30 | WAM,1,
191,193,A. Smith | 27 | FB,1,
192,194,K. Femenía | 27 | FB,1,
193,195,V. Wanyama | 27 | DMC,1,
194,196,C. Benteke | 28 | FW,1,
195,197,J. Ward | 29 | FB,1,
196,198,C. Smalling | 29 | CB,1,
197,199,S. Cook | 27 | CB,1,
198,200,J. Henderson | 28 | CM,1,
199,201,K. Walker | 28 | FB,1,
200,202,C. Soares | 27 | FB,1,
201,203,J. Matip | 27 | CB,1,
202,204,M. Gabbiadini | 27 | FW,1,
203,205,N. Matic | 30 | CM,1,
204,206,D. Pröpper | 27 | CM,1,
205,207,D. Ward | 28 | FW,1,
206,208,T. Cairney | 27 | CAM,1,
207,209,K. Trippier | 28 | FB,1,
208,210,O. Romeu | 27 | DMC,1,
209,211,K. Harris | 25 | WAM,1,
210,212,J. Ayew | 27 | FW,1,
211,213,R. Fredericks | 26 | FB,1,
212,214,M. Vydra | 26 | FW,1,
213,215,K. Zohore | 24 | FW,1,
214,216,B. Gibson | 25 | CB,1,
215,217,C. Schindler | 28 | CB,1,
216,218,M. Lanzini | 25 | CAM,1,
217,219,J. Stephens | 24 | CB,1,
218,220,Danilo | 27 | FB,1,
219,221,Bernard | 26 | WAM,1,
220,222,Fred | 25 | CM,1,
221,223,A. Rüdiger | 25 | CB,1,
222,224,J. Ibe | 23 | FW,1,
223,225,C. Atsu | 26 | FW,1,
224,226,M. Keane | 25 | CB,1,
225,227,L. Shaw | 23 | FB,1,
226,228,L. Vietto | 25 | WAM,1,
227,229,S. March | 24 | CAM,1,
228,230,T. Kongolo | 24 | CB,1,
229,231,J. Otto | 24 | FB,1,
230,232,R. Ghezzal | 26 | WAM,1,
231,233,Fabinho | 25 | DMC,1,
232,234,A. Gomes | 25 | CM,1,
233,235,M. Meyer | 23 | WAM,1,
234,236,M. Lemina | 25 | CM,1,
235,237,D. Yedlin | 25 | FB,1,
236,238,I. Hayden | 23 | CM,1,
237,239,A. Maitland-Niles | 21 | FB,1,
238,240,A. Pereira | 22 | CAM,1,
239,241,H. Winks | 22 | CM,1,
240,242,K. Sema | 25 | FW,1,
241,243,A. Traoré | 22 | FW,1,
242,244,Y. Mina | 24 | CB,1,
243,245,H. Costa | 24 | CAM,1,
244,246,F. Balbuena | 27 | CB,1,
245,247,Kenedy | 22 | FW,1,
246,248,T. Alexander-Arnold | 20 | FB,1,
247,249,M. Targett | 23 | FB,1,
248,250,J. Seri | 27 | CM,1,
249,251,I. Success | 22 | FW,1,
250,252,K. Iheanacho | 22 | FW,1,
251,253,D. Sánchez | 22 | CB,1,
252,254,L. Mousset | 22 | FW,1,
253,255,S. Longstaff | 21 | CM,1,
254,256,V. Lindelöf | 24 | CB,1,
255,257,J. Stankovic | 22 | CB,1,
256,258,Y. Muto | 26 | FW,1,
257,259,H. Barnes | 21 | CAM,1,
258,260,J. Bacuna | 21 | CM,1,
259,261,I. Mbenza | 22 | FW,1,
260,262,E. Nketiah | 19 | FW,1,
261,263,P. Foden | 18 | CAM,1,
262,264,D. Quina | 19 | CAM,1,
263,265,I. Diop | 21 | CB,1,
264,266,M. Obafemi | 18 | FW,1,
265,267,J. Foyth | 20 | CB,1,
266,268,P. Crouch | 37 | FW,-,
267,269,L. Grant | 35 | GK,-,
268,270,J. Defoe | 36 | FW,-,
269,271,B. Foster | 35 | GK,-,
270,272,M. Stekelenburg | 36 | GK,-,
271,273,B. Murphy | 35 | GK,-,
272,274,P. Cech | 36 | GK,-,
273,275,Bruno | 38 | FB,-,
274,276,J. Speroni | 39 | GK,-,
275,277,L. Baines | 34 | FB,-,
276,278,S. Francis | 33 | CB,-,
277,279,A. Surman | 32 | CM,-,
278,280,J. Hart | 31 | GK,-,
279,281,S. Davis | 33 | CM,-,
280,282,K. Schmeichel | 32 | GK,-,
281,283,C. Fàbregas | 31 | CM,-,
282,284,P. Bardsley | 33 | FB,-,
283,285,H. Gomes | 37 | GK,-,
284,286,A. Boruc | 38 | GK,-,
285,287,S. Dann | 31 | CB,-,
286,288,J. Puncheon | 32 | CAM,-,
287,289,J. Puncheon | 32 | CM,-,
288,290,J. Ruddy | 32 | GK,-,
289,291,G. Cahill | 33 | CB,-,
290,292,M. Pugh | 31 | FW,-,
291,293,S. Okaka | 29 | FW,-,
292,294,W. Hennessey | 31 | GK,-,
293,295,A. Mariappa | 32 | CB,-,
294,296,W. Caballero | 37 | GK,-,
295,297,P. Zabaleta | 33 | FB,-,
296,298,A. Valencia | 33 | FB,-,
297,299,T. Heaton | 32 | GK,-,
298,300,S. Lichtsteiner | 34 | FB,-,
299,301,M. Connolly | 31 | CB,-,
300,302,M. Diamé | 31 | CAM,-,
301,303,S. Nasri | 31 | CAM,-,
302,304,C. Bravo | 35 | GK,-,
303,305,L. Fabianski | 33 | GK,-,
304,306,C. Fuchs | 32 | FB,-,
305,307,H. Lloris | 32 | GK,-,
306,308,B. Hamer | 31 | GK,-,
307,309,D. Rose | 28 | FB,-,
308,310,R. Patrício | 30 | GK,-,
309,311,L. Peltier | 32 | FB,-,
310,312,M. Dembélé | 31 | CM,-,
311,313,A. Lallana | 30 | CM,-,
312,314,M. Vorm | 35 | GK,-,
313,315,S. Defour | 30 | CM,-,
314,316,M. Darmian | 29 | FB,-,
315,317,A. Carroll | 29 | FW,-,
316,318,A. Begovic | 31 | GK,-,
317,319,F. Forster | 30 | GK,-,
318,320,Fabri | 31 | GK,-,
319,321,S. Ward | 33 | FB,-,
320,322,D. Simpson | 31 | FB,-,
321,323,M. Sakho | 28 | CB,-,
322,324,V. Guaita | 31 | GK,-,
323,325,M. Fellaini | 31 | CAM,-,
324,326,K. Long | 28 | CB,-,
325,327,F. Delph | 29 | CM,-,
326,328,S. Prödl | 31 | CB,-,
327,329,G. Bong | 30 | FB,-,
328,330,M. Schneiderlin | 29 | DMC,-,
329,331,C. Sánchez | 32 | CM,-,
330,332,S. Romero | 31 | GK,-,
331,333,H. Nordtveit | 28 | CB,-,
332,334,M. Suttner | 31 | FB,-,
333,335,B. Sako | 30 | FW,-,
334,336,G. Madine | 28 | WAM,-,
335,337,A. Smithies | 28 | GK,-,
336,338,M. Sissoko | 29 | CM,-,
337,339,A. Silva | 29 | CM,-,
338,340,H. Arter | 29 | CM,-,
339,341,V. Moses | 28 | FW,-,
340,342,J. Steele | 28 | GK,-,
341,343,B. Ecuele Manga | 30 | FB,-,
342,344,D. Button | 29 | GK,-,
343,345,J. McCarthy | 28 | CM,-,
344,346,R. van La Parra | 27 | FW,-,
345,347,B. Mee | 29 | CB,-,
346,348,D. de Gea | 28 | GK,-,
347,349,M. Britos | 33 | CB,-,
348,350,D. Janmaat | 29 | FB,-,
349,351,J. Wilshere | 26 | CM,-,
350,352,C. Löwe | 29 | FB,-,
351,353,Iborra | 30 | CM,-,
352,354,L. Damour | 27 | CM,-,
353,355,C. Kouyaté | 29 | CM,-,
354,356,K. McDonald | 30 | CM,-,
355,357,A. Cresswell | 29 | FB,-,
356,358,T. Alderweireld | 29 | CB,-,
357,359,J. Bennett | 28 | FB,-,
358,360,F. Fernández | 29 | CB,-,
359,361,N. Clyne | 27 | FB,-,
360,362,N. Clyne | 27 | FB,-,
361,363,N. Otamendi | 30 | CB,-,
362,364,J. Lössl | 29 | GK,-,
363,365,A. McCarthy | 29 | GK,-,
364,366,M. Kelly | 28 | FB,-,
365,367,M. Rojo | 28 | FB,-,
366,368,C. Wickham | 25 | FW,-,
367,369,K. Darlow | 28 | GK,-,
368,370,P. Obiang | 26 | CM,-,
369,371,Adrián | 31 | GK,-,
370,372,D. Drinkwater | 28 | CM,-,
371,373,M. Le Marchand | 29 | CB,-,
372,374,S. Johansen | 27 | CM,-,
373,375,S. Mignolet | 30 | GK,-,
374,376,M. Dúbravka | 29 | GK,-,
375,377,M. Lowton | 29 | FB,-,
376,378,D. Odoi | 30 | FB,-,
377,379,J. Richards | 27 | FB,-,
378,380,L. Bacuna | 27 | FW,-,
379,381,P. Jones | 26 | CB,-,
380,382,K. Sung-Yueng | 29 | CM,-,
381,383,F. Lejeune | 27 | CB,-,
382,384,S. Okazaki | 32 | FW,-,
383,385,D. Burn | 26 | CB,-,
384,386,P. Souaré | 28 | FB,-,
385,387,J. Hogg | 30 | CM,-,
386,388,B. Leno | 26 | GK,-,
387,389,S. Aurier | 26 | FB,-,
388,390,C. Jenkinson | 26 | FB,-,
389,391,M. Yoshida | 30 | CB,-,
390,392,D. Williams | 29 | DMC,-,
391,393,G. Cunningham | 27 | FB,-,
392,394,I. Gueye | 29 | DMC,-,
393,395,A. Oxlade-Chamberlain | 25 | CM,-,
394,396,T. Ream | 31 | CB,-,
395,397,C. Quaner | 27 | FW,-,
396,398,C. Kabasele | 27 | CB,-,
397,399,M. Montoya | 27 | FB,-,
398,400,N. Mendy | 26 | CM,-,
399,401,C. Christie | 26 | FB,-,
400,402,E. Kachunga | 26 | FW,-,
401,403,N. Etheridge | 28 | GK,-,
402,404,N. Chalobah | 24 | DMC,-,
403,405,D. Suárez | 24 | WAM,-,
404,406,R. Brady | 26 | FW,-,
405,407,M. Kovacic | 24 | CM,-,
406,408,N. Kebano | 26 | CAM,-,
407,409,J. Vestergaard | 26 | CB,-,
408,410,C. Coady | 25 | CB,-,
409,411,S. Rico | 25 | GK,-,
410,412,D. Ward | 25 | GK,-,
411,413,M. Elyounoussi | 24 | CAM,-,
412,414,J. Stones | 24 | CB,-,
413,415,H. Bellerín | 23 | FB,-,
414,416,E. Martínez | 26 | GK,-,
415,417,L. Markovic | 24 | WAM,-,
416,418,A. Moreno | 26 | FB,-,
417,419,J. Bryan | 25 | FB,-,
418,420,J. Lascelles | 25 | CB,-,
419,421,B. Mendy | 24 | FB,-,
420,422,P. Gazzaniga | 26 | GK,-,
421,423,C. Taylor | 25 | FB,-,
422,424,J. Ralls | 25 | CM,-,
423,425,T. Smith | 26 | CB,-,
424,426,D. Zappacosta | 26 | FB,-,
425,427,A. Masuaku | 25 | FB,-,
426,428,P. Dummett | 27 | FB,-,
427,429,A. Gunn | 22 | GK,-,
428,430,S. Ramírez | 23 | FW,-,
429,431,J. Manquillo | 24 | FB,-,
430,432,Emerson | 24 | FB,-,
431,433,Kepa | 24 | GK,-,
432,434,I. Cissé | 24 | CM,-,
433,435,J. Pickford | 24 | GK,-,
434,436,S. Kolasinac | 25 | FB,-,
435,437,O. Niasse | 28 | FW,-,
436,438,O. Niasse | 28 | FW,-,
437,439,J. Murphy | 23 | FW,-,
438,440,B. Davies | 25 | FB,-,
439,441,A. Becker | 26 | GK,-,
440,442,E. Durm | 26 | FB,-,
441,443,Ederson | 25 | GK,-,
442,444,M. Bettinelli | 26 | GK,-,
443,445,E. Hyndman | 22 | CM,-,
444,446,A. Robertson | 24 | FB,-,
445,447,K. Hause | 23 | CB,-,
446,448,R. Healey | 24 | FW,-,
447,449,M. Ryan | 26 | GK,-,
448,450,A. Christensen | 22 | CB,-,
449,451,L. Bonatini | 24 | FW,-,
450,452,A. Sørloth | 23 | FW,-,
451,453,L. Depoitre | 30 | FW,-,
452,454,A. Mawson | 24 | CB,-,
453,455,T. Mings | 25 | FB,-,
454,456,M. Elneny | 26 | DMC,-,
455,457,S. Gallagher | 23 | FW,-,
456,458,J. Sims | 21 | FW,-,
457,459,J. Kenny | 21 | FB,-,
458,460,D. Solanke | 21 | FW,-,
459,461,L. Cook | 21 | CM,-,
460,462,F. Woodman | 21 | GK,-,
461,463,D. Amartey | 24 | FB,-,
462,464,A. Masina | 24 | FB,-,
463,465,R. Holding | 23 | CB,-,
464,466,K. Walker-Peters | 21 | FB,-,
465,467,A. Barreca | 23 | FB,-,
466,468,A. Jahanbakhsh | 25 | WAM,-,
467,469,V. Janssen | 24 | FW,-,
468,470,W. Hoedt | 24 | CB,-,
469,471,J. Izquierdo | 26 | FW,-,
470,472,W. Norris | 25 | GK,-,
471,473,G. Nkoudou | 23 | FW,-,
472,474,L. Amos | 21 | CM,-,
473,475,J. Coleman | 23 | GK,-,
474,476,D. Rico | 25 | FB,-,
475,477,K. Dowell | 21 | WAM,-,
476,478,J. Gomez | 21 | CB,-,
477,479,J. Bednarek | 22 | CB,-,
478,480,F. Hadërgjonaj | 24 | FB,-,
479,481,C. Roberts | 21 | N/A,-,
480,482,B. Chilwell | 22 | FB,-,
481,483,T. Davies | 20 | CM,-,
482,484,J. Riedewald | 22 | CM,-,
483,485,D. Duhaney | 20 | FB,-,
484,486,A. Whiteman | 20 | GK,-,
485,487,L. de la Torre | 20 | FW,-,
486,488,A. Jones | 21 | CB,-,
487,489,M. Almirón | 24 | FW,-,
488,490,G. Diangana | 20 | WAM,-,
489,491,J. Sterry | 23 | FB,-,
490,492,N. Holland | 20 | FW,-,
491,493,C. Slattery | 19 | CM,-,
492,494,M. Holgate | 22 | CB,-,
493,495,A. Peñaranda | 21 | FW,-,
494,496,A. Driscoll-Glennon | 19 | FB,-,
495,497,J. Powell | 20 | CAM,-,
496,498,E. Bailly | 24 | CB,-,
497,499,H. Choudhury | 21 | CM,-,
498,500,K. Sterling | 20 | N/A,-,
499,501,B. Enobakhare | 20 | FW,-,
500,502,B. White | 21 | CB,-,
501,503,E. Ampadu | 18 | CB,-,
502,504,J. Willock | 19 | CM,-,
503,505,M. Butcher | 21 | CM,-,
504,506,T. Fosu-Mensah | 20 | FB,-,
505,507,J. Knight | 21 | CB,-,
506,508,A. Zambo Anguissa | 23 | CM,-,
507,509,T. Johnson | 20 | CM,-,
508,510,G. Marsh | 20 | N/A,-,
509,511,R. Sobhi | 21 | WAM,-,
510,512,O. Zinchenko | 22 | FB,-,
511,513,C. Jones | 17 | CM,-,
512,514,S. Sessegnon | 18 | FB,-,
513,515,M. Guéhi | 18 | CB,-,
514,516,Z. Medley | 18 | CB,-,
515,517,T. Eyoma | 18 | FB,-,
516,518,A. Gomes | 18 | WAM,-,
517,519,O. Skipp | 18 | CM,-,
518,520,C. Hudson-Odoi | 18 | FW,-,
519,521,E. Smith Rowe | 18 | WAM,-,
520,522,Bernardo | 23 | FB,-,
521,523,J. Tupper | 21 | GK,-,
522,524,X. Silva | 21 | CAM,-,
523,525,F. Diabaté | 23 | FW,-,
524,526,M. Kilman | 21 | FB,-,
525,527,A. Wan-Bissaka | 21 | FB,-,
526,528,M. Sanders | 19 | CM,-,
527,529,C. John | 19 | CB,-,
528,530,D. Dalot | 19 | FB,-,
529,531,R. Vinagre | 19 | FB,-,
530,532,S. Surridge | 20 | FW,-,
531,533,J. Benson | 19 | CM,-,
532,534,R. Camacho | 18 | FB,-,
533,535,Ç. Söyüncü | 22 | CB,-,
534,536,A. Lookman | 21 | WAM,-,
535,537,M. Navarro | 23 | FB,-,
536,538,M. Greenwood | 17 | FW,-,
537,539,J. Molumby | 19 | CM,-,
538,540,S. Woods | 20 | CB,-,
539,541,L. Dreher | 20 | WAM,-,
540,542,C. Coventry | 18 | CM,-,
541,543,B. Johnson | 18 | CM,-,
542,544,J. Simpson | 22 | CB,-,
543,545,M. Gibbs-White | 18 | CM,-,
544,546,T. Chong | 19 | FW,-,
545,547,B. Saka | 17 | FW,-,
546,548,C. Mepham | 21 | CB,-,
547,549,V. Gyökeres | 20 | FW,-,
548,550,Y. Bissouma | 22 | CM,-,
549,551,M. Travers | 19 | GK,-,
550,552,P. Sandler | 21 | CB,-,
551,553,R. Giles | 18 | FW,-,
552,554,K. Ramsay | 18 | FB,-,
553,555,A. Muric | 20 | GK,-,
554,556,J. Garner | 17 | CM,-,
555,557,L. Cass | 18 | CB,-,
556,558,K. Watts | 19 | CM,-,
557,559,A. Diakhaby | 22 | FW,-,
558,560,K. Mavropanos | 21 | CB,-,
559,561,N. Tavares | 19 | CB,-,
560,562,B. Wilmot | 19 | CB,-,
561,563,R. Schofield | 19 | GK,-,
562,564,M. Guendouzi | 19 | CM,-,
563,565,A. Sabiri | 22 | CAM,-,
564,566,K. Taylor | 19 | CM,-,
565,567,A. Koiki | 19 | FB,-,
566,568,A. Rowe | 18 | FW,-,
567,569,N. Ofoborh | 19 | CM,-,
568,570,H. Elliott | 15 | CM,-,
569,571,M. Daly | 17 | CM,-,
